Hospital Name,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
HARMON HOSPITAL,NV,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
HARMON HOSPITAL,NV,READM_30_PN_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
CHESHIRE MEDICAL CENTER,NH,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0101,19.0025,18.8128,Not Available,07/01/2014,06/30/2017
CHESHIRE MEDICAL CENTER,NH,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
CHESHIRE MEDICAL CENTER,NH,READM_30_COPD_HRRP,196,,0.982,18.5452,18.8845,35,07/01/2014,06/30/2017
CHESHIRE MEDICAL CENTER,NH,READM_30_HF_HRRP,303,,0.9514,19.8545,20.8696,57,07/01/2014,06/30/2017
CHESHIRE MEDICAL CENTER,NH,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0807,4.2815,3.9617,Not Available,07/01/2014,06/30/2017
CHESHIRE MEDICAL CENTER,NH,READM_30_PN_HRRP,396,,0.9,14.4376,16.0420,51,07/01/2014,06/30/2017
PENNSYLVANIA HOSPITAL,PA,READM_30_AMI_HRRP,92,,1.034,16.2403,15.7066,17,07/01/2014,06/30/2017
PENNSYLVANIA HOSPITAL,PA,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9176,11.2163,12.2229,Not Available,07/01/2014,06/30/2017
PENNSYLVANIA HOSPITAL,PA,READM_30_COPD_HRRP,123,,1.0136,19.4899,19.2287,25,07/01/2014,06/30/2017
PENNSYLVANIA HOSPITAL,PA,READM_30_HF_HRRP,392,,0.9946,21.7721,21.8900,85,07/01/2014,06/30/2017
PENNSYLVANIA HOSPITAL,PA,READM_30_HIP_KNEE_HRRP,637,,1.1961,5.5310,4.6242,39,07/01/2014,06/30/2017
PENNSYLVANIA HOSPITAL,PA,READM_30_PN_HRRP,253,,0.9251,15.2649,16.5011,34,07/01/2014,06/30/2017
HILL REGIONAL HOSPITAL,TX,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
HILL REGIONAL HOSPITAL,TX,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
HILL REGIONAL HOSPITAL,TX,READM_30_COPD_HRRP,98,,0.9843,16.4745,16.7374,15,07/01/2014,06/30/2017
HILL REGIONAL HOSPITAL,TX,READM_30_HF_HRRP,66,,1.0198,20.8312,20.4274,15,07/01/2014,06/30/2017
HILL REGIONAL HOSPITAL,TX,READM_30_HIP_KNEE_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
HILL REGIONAL HOSPITAL,TX,READM_30_PN_HRRP,135,,0.9846,13.9943,14.2138,18,07/01/2014,06/30/2017
BANNER HEART HOSPITAL,AZ,READM_30_AMI_HRRP,773,,0.883,12.0814,13.6819,86,07/01/2014,06/30/2017
BANNER HEART HOSPITAL,AZ,READM_30_CABG_HRRP,271,,0.975,12.0451,12.3539,32,07/01/2014,06/30/2017
BANNER HEART HOSPITAL,AZ,READM_30_COPD_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9691,20.6457,21.3050,Not Available,07/01/2014,06/30/2017
BANNER HEART HOSPITAL,AZ,READM_30_HF_HRRP,593,,0.8528,17.5214,20.5455,94,07/01/2014,06/30/2017
BANNER HEART HOSPITAL,AZ,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
BANNER HEART HOSPITAL,AZ,READM_30_PN_HRRP,51,,1.0341,19.4515,18.8102,12,07/01/2014,06/30/2017
GEORGE WASHINGTON UNIV HOSPITAL,DC,READM_30_AMI_HRRP,188,,0.9892,15.7878,15.9610,29,07/01/2014,06/30/2017
GEORGE WASHINGTON UNIV HOSPITAL,DC,READM_30_CABG_HRRP,76,,1.1765,16.5817,14.0937,17,07/01/2014,06/30/2017
GEORGE WASHINGTON UNIV HOSPITAL,DC,READM_30_COPD_HRRP,125,,1.1078,20.2269,18.2586,33,07/01/2014,06/30/2017
GEORGE WASHINGTON UNIV HOSPITAL,DC,READM_30_HF_HRRP,396,,1.0947,23.0059,21.0154,97,07/01/2014,06/30/2017
GEORGE WASHINGTON UNIV HOSPITAL,DC,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9208,3.6058,3.9161,Not Available,07/01/2014,06/30/2017
GEORGE WASHINGTON UNIV HOSPITAL,DC,READM_30_PN_HRRP,281,,1.0997,18.2260,16.5739,57,07/01/2014,06/30/2017
HACKENSACK UNIVERSITY MEDICAL CENTER,NJ,READM_30_AMI_HRRP,827,,1.0084,17.1066,16.9645,142,07/01/2014,06/30/2017
HACKENSACK UNIVERSITY MEDICAL CENTER,NJ,READM_30_CABG_HRRP,245,,0.8342,10.8554,13.0129,22,07/01/2014,06/30/2017
HACKENSACK UNIVERSITY MEDICAL CENTER,NJ,READM_30_COPD_HRRP,673,,1.1,22.8086,20.7343,161,07/01/2014,06/30/2017
HACKENSACK UNIVERSITY MEDICAL CENTER,NJ,READM_30_HF_HRRP,1387,,1.025,23.2425,22.6753,324,07/01/2014,06/30/2017
HACKENSACK UNIVERSITY MEDICAL CENTER,NJ,READM_30_HIP_KNEE_HRRP,1948,,0.9109,3.8460,4.2220,73,07/01/2014,06/30/2017
HACKENSACK UNIVERSITY MEDICAL CENTER,NJ,READM_30_PN_HRRP,1386,,1.1105,19.8766,17.8991,282,07/01/2014,06/30/2017
MATAGORDA REGIONAL MEDICAL CENTER,TX,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9635,15.7688,16.3657,Not Available,07/01/2014,06/30/2017
MATAGORDA REGIONAL MEDICAL CENTER,TX,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
MATAGORDA REGIONAL MEDICAL CENTER,TX,READM_30_COPD_HRRP,85,,0.9539,20.7704,21.7735,14,07/01/2014,06/30/2017
MATAGORDA REGIONAL MEDICAL CENTER,TX,READM_30_HF_HRRP,146,,0.9691,20.5429,21.1971,28,07/01/2014,06/30/2017
MATAGORDA REGIONAL MEDICAL CENTER,TX,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0102,5.3612,5.3070,Not Available,07/01/2014,06/30/2017
MATAGORDA REGIONAL MEDICAL CENTER,TX,READM_30_PN_HRRP,137,,0.9683,17.4968,18.0704,22,07/01/2014,06/30/2017
LAKE WALES MEDICAL CENTER,FL,READM_30_AMI_HRRP,59,,1.0353,19.9028,19.2245,14,07/01/2014,06/30/2017
LAKE WALES MEDICAL CENTER,FL,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
LAKE WALES MEDICAL CENTER,FL,READM_30_COPD_HRRP,332,,1.0448,19.1897,18.3661,67,07/01/2014,06/30/2017
LAKE WALES MEDICAL CENTER,FL,READM_30_HF_HRRP,229,,1.1792,24.5518,20.8201,67,07/01/2014,06/30/2017
LAKE WALES MEDICAL CENTER,FL,READM_30_HIP_KNEE_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
LAKE WALES MEDICAL CENTER,FL,READM_30_PN_HRRP,218,,1.0152,16.1002,15.8585,36,07/01/2014,06/30/2017
WOOSTER COMMUNITY HOSPITAL,OH,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,0.958,14.3578,14.9878,Not Available,07/01/2014,06/30/2017
WOOSTER COMMUNITY HOSPITAL,OH,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
WOOSTER COMMUNITY HOSPITAL,OH,READM_30_COPD_HRRP,167,,0.8879,16.6475,18.7501,19,07/01/2014,06/30/2017
WOOSTER COMMUNITY HOSPITAL,OH,READM_30_HF_HRRP,265,,0.8911,18.5794,20.8489,42,07/01/2014,06/30/2017
WOOSTER COMMUNITY HOSPITAL,OH,READM_30_HIP_KNEE_HRRP,257,,1.0503,4.2724,4.0677,12,07/01/2014,06/30/2017
WOOSTER COMMUNITY HOSPITAL,OH,READM_30_PN_HRRP,288,,0.9986,16.3477,16.3698,47,07/01/2014,06/30/2017
ALASKA REGIONAL HOSPITAL,AK,READM_30_AMI_HRRP,145,,0.9516,13.8070,14.5085,17,07/01/2014,06/30/2017
ALASKA REGIONAL HOSPITAL,AK,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9393,13.3502,14.2132,Not Available,07/01/2014,06/30/2017
ALASKA REGIONAL HOSPITAL,AK,READM_30_COPD_HRRP,96,,1.0587,19.4892,18.4093,23,07/01/2014,06/30/2017
ALASKA REGIONAL HOSPITAL,AK,READM_30_HF_HRRP,132,,0.9075,20.6811,22.7879,21,07/01/2014,06/30/2017
ALASKA REGIONAL HOSPITAL,AK,READM_30_HIP_KNEE_HRRP,683,,0.9425,3.5449,3.7611,23,07/01/2014,06/30/2017
ALASKA REGIONAL HOSPITAL,AK,READM_30_PN_HRRP,130,,0.965,14.6891,15.2226,17,07/01/2014,06/30/2017
PARKVIEW NOBLE HOSPITAL,IN,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
PARKVIEW NOBLE HOSPITAL,IN,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
PARKVIEW NOBLE HOSPITAL,IN,READM_30_COPD_HRRP,188,,0.9228,17.5546,19.0240,27,07/01/2014,06/30/2017
PARKVIEW NOBLE HOSPITAL,IN,READM_30_HF_HRRP,86,,1.0125,21.1685,20.9080,19,07/01/2014,06/30/2017
PARKVIEW NOBLE HOSPITAL,IN,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9713,4.5608,4.6954,Not Available,07/01/2014,06/30/2017
PARKVIEW NOBLE HOSPITAL,IN,READM_30_PN_HRRP,166,,0.9185,13.8057,15.0311,18,07/01/2014,06/30/2017
NORTHERN DUTCHESS HOSPITAL,NY,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0292,14.8725,14.4501,Not Available,07/01/2014,06/30/2017
NORTHERN DUTCHESS HOSPITAL,NY,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
NORTHERN DUTCHESS HOSPITAL,NY,READM_30_COPD_HRRP,149,,1.0485,17.8021,16.9780,30,07/01/2014,06/30/2017
NORTHERN DUTCHESS HOSPITAL,NY,READM_30_HF_HRRP,197,,1.0227,20.5967,20.1397,42,07/01/2014,06/30/2017
NORTHERN DUTCHESS HOSPITAL,NY,READM_30_HIP_KNEE_HRRP,644,,0.9978,4.1995,4.2087,27,07/01/2014,06/30/2017
NORTHERN DUTCHESS HOSPITAL,NY,READM_30_PN_HRRP,332,,0.9938,14.5669,14.6576,48,07/01/2014,06/30/2017
LUTHERAN HOSPITAL,OH,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
LUTHERAN HOSPITAL,OH,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
LUTHERAN HOSPITAL,OH,READM_30_COPD_HRRP,123,,0.9639,18.5146,19.2082,20,07/01/2014,06/30/2017
LUTHERAN HOSPITAL,OH,READM_30_HF_HRRP,65,,1.0591,23.4346,22.1258,19,07/01/2014,06/30/2017
LUTHERAN HOSPITAL,OH,READM_30_HIP_KNEE_HRRP,611,,0.8971,3.3081,3.6875,18,07/01/2014,06/30/2017
LUTHERAN HOSPITAL,OH,READM_30_PN_HRRP,74,,1.0128,16.5305,16.3212,13,07/01/2014,06/30/2017
ST LUKE'S HOSPITAL,OH,READM_30_AMI_HRRP,300,,0.859,13.8102,16.0773,32,07/01/2014,06/30/2017
ST LUKE'S HOSPITAL,OH,READM_30_CABG_HRRP,104,,0.9477,11.8922,12.5488,11,07/01/2014,06/30/2017
ST LUKE'S HOSPITAL,OH,READM_30_COPD_HRRP,456,,1.0146,19.4973,19.2174,90,07/01/2014,06/30/2017
ST LUKE'S HOSPITAL,OH,READM_30_HF_HRRP,437,,0.9244,20.1428,21.7898,83,07/01/2014,06/30/2017
ST LUKE'S HOSPITAL,OH,READM_30_HIP_KNEE_HRRP,327,,1.1298,5.3304,4.7179,20,07/01/2014,06/30/2017
ST LUKE'S HOSPITAL,OH,READM_30_PN_HRRP,411,,1.0117,16.6194,16.4274,69,07/01/2014,06/30/2017
TYLER MEMORIAL HOSPITAL,PA,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
TYLER MEMORIAL HOSPITAL,PA,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
TYLER MEMORIAL HOSPITAL,PA,READM_30_COPD_HRRP,Not Available,5 - Results are not available for this reporting period.,0.995,15.7674,15.8469,Not Available,07/01/2014,06/30/2017
TYLER MEMORIAL HOSPITAL,PA,READM_30_HF_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9606,20.8083,21.6621,Not Available,07/01/2014,06/30/2017
TYLER MEMORIAL HOSPITAL,PA,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
TYLER MEMORIAL HOSPITAL,PA,READM_30_PN_HRRP,96,,1.0174,15.6104,15.3427,16,07/01/2014,06/30/2017
ORO VALLEY HOSPITAL,AZ,READM_30_AMI_HRRP,133,,0.9717,12.5523,12.9179,15,07/01/2014,06/30/2017
ORO VALLEY HOSPITAL,AZ,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
ORO VALLEY HOSPITAL,AZ,READM_30_COPD_HRRP,224,,1.0422,17.8493,17.1258,43,07/01/2014,06/30/2017
ORO VALLEY HOSPITAL,AZ,READM_30_HF_HRRP,284,,1.0144,19.4040,19.1278,56,07/01/2014,06/30/2017
ORO VALLEY HOSPITAL,AZ,READM_30_HIP_KNEE_HRRP,918,,0.9075,3.2660,3.5990,28,07/01/2014,06/30/2017
ORO VALLEY HOSPITAL,AZ,READM_30_PN_HRRP,393,,0.8762,12.6172,14.3994,42,07/01/2014,06/30/2017
WEST JEFFERSON MEDICAL CENTER,LA,READM_30_AMI_HRRP,129,,1.1116,18.0960,16.2790,30,07/01/2014,06/30/2017
WEST JEFFERSON MEDICAL CENTER,LA,READM_30_CABG_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
WEST JEFFERSON MEDICAL CENTER,LA,READM_30_COPD_HRRP,173,,0.88,18.2750,20.7668,22,07/01/2014,06/30/2017
WEST JEFFERSON MEDICAL CENTER,LA,READM_30_HF_HRRP,353,,0.9442,21.7377,23.0212,73,07/01/2014,06/30/2017
WEST JEFFERSON MEDICAL CENTER,LA,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0101,3.9527,3.9133,Not Available,07/01/2014,06/30/2017
WEST JEFFERSON MEDICAL CENTER,LA,READM_30_PN_HRRP,181,,0.8755,16.0396,18.3205,21,07/01/2014,06/30/2017
ANDERSON REGIONAL MEDICAL CTR,MS,READM_30_AMI_HRRP,338,,0.9771,13.4289,13.7438,44,07/01/2014,06/30/2017
ANDERSON REGIONAL MEDICAL CTR,MS,READM_30_CABG_HRRP,99,,1.1077,12.5669,11.3455,15,07/01/2014,06/30/2017
ANDERSON REGIONAL MEDICAL CTR,MS,READM_30_COPD_HRRP,633,,1.0986,19.5882,17.8300,131,07/01/2014,06/30/2017
ANDERSON REGIONAL MEDICAL CTR,MS,READM_30_HF_HRRP,736,,1.0169,20.7797,20.4344,154,07/01/2014,06/30/2017
ANDERSON REGIONAL MEDICAL CTR,MS,READM_30_HIP_KNEE_HRRP,283,,1.0391,4.6666,4.4910,14,07/01/2014,06/30/2017
ANDERSON REGIONAL MEDICAL CTR,MS,READM_30_PN_HRRP,773,,1.007,15.4705,15.3622,120,07/01/2014,06/30/2017
UPPER VALLEY MEDICAL CENTER,OH,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9675,18.3959,19.0143,Not Available,07/01/2014,06/30/2017
UPPER VALLEY MEDICAL CENTER,OH,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
UPPER VALLEY MEDICAL CENTER,OH,READM_30_COPD_HRRP,420,,1.0786,19.6108,18.1811,88,07/01/2014,06/30/2017
UPPER VALLEY MEDICAL CENTER,OH,READM_30_HF_HRRP,301,,0.9868,21.2131,21.4963,63,07/01/2014,06/30/2017
UPPER VALLEY MEDICAL CENTER,OH,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0615,4.8193,4.5403,Not Available,07/01/2014,06/30/2017
UPPER VALLEY MEDICAL CENTER,OH,READM_30_PN_HRRP,522,,1.0248,16.3877,15.9910,87,07/01/2014,06/30/2017
DILEY RIDGE MEDICAL CENTER,OH,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
DILEY RIDGE MEDICAL CENTER,OH,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
DILEY RIDGE MEDICAL CENTER,OH,READM_30_COPD_HRRP,0,7 - No cases met the criteria for this measure.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
DILEY RIDGE MEDICAL CENTER,OH,READM_30_HF_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
DILEY RIDGE MEDICAL CENTER,OH,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
DILEY RIDGE MEDICAL CENTER,OH,READM_30_PN_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
METRO NASHVILLE GENERAL HOSPITAL,TN,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
METRO NASHVILLE GENERAL HOSPITAL,TN,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
METRO NASHVILLE GENERAL HOSPITAL,TN,READM_30_COPD_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0098,20.9853,20.7816,Not Available,07/01/2014,06/30/2017
METRO NASHVILLE GENERAL HOSPITAL,TN,READM_30_HF_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
METRO NASHVILLE GENERAL HOSPITAL,TN,READM_30_HIP_KNEE_HRRP,0,7 - No cases met the criteria for this measure.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
METRO NASHVILLE GENERAL HOSPITAL,TN,READM_30_PN_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
HUNTSVILLE HOSPITAL,AL,READM_30_AMI_HRRP,1080,,1.0199,14.3343,14.0550,156,07/01/2014,06/30/2017
HUNTSVILLE HOSPITAL,AL,READM_30_CABG_HRRP,573,,0.8575,10.8001,12.5943,58,07/01/2014,06/30/2017
HUNTSVILLE HOSPITAL,AL,READM_30_COPD_HRRP,1445,,1.0688,20.5513,19.2286,302,07/01/2014,06/30/2017
HUNTSVILLE HOSPITAL,AL,READM_30_HF_HRRP,1896,,0.9861,21.2500,21.5501,402,07/01/2014,06/30/2017
HUNTSVILLE HOSPITAL,AL,READM_30_HIP_KNEE_HRRP,1832,,1.0468,4.0426,3.8617,75,07/01/2014,06/30/2017
HUNTSVILLE HOSPITAL,AL,READM_30_PN_HRRP,1630,,1.0603,17.6971,16.6900,292,07/01/2014,06/30/2017
MOBILE INFIRMARY MEDICAL CENTER,AL,READM_30_AMI_HRRP,238,,0.9944,14.0060,14.0843,33,07/01/2014,06/30/2017
MOBILE INFIRMARY MEDICAL CENTER,AL,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9133,11.5222,12.6157,Not Available,07/01/2014,06/30/2017
MOBILE INFIRMARY MEDICAL CENTER,AL,READM_30_COPD_HRRP,528,,1.0758,20.7306,19.2699,115,07/01/2014,06/30/2017
MOBILE INFIRMARY MEDICAL CENTER,AL,READM_30_HF_HRRP,803,,1.1393,23.3602,20.5033,196,07/01/2014,06/30/2017
MOBILE INFIRMARY MEDICAL CENTER,AL,READM_30_HIP_KNEE_HRRP,653,,0.9728,3.9155,4.0251,25,07/01/2014,06/30/2017
MOBILE INFIRMARY MEDICAL CENTER,AL,READM_30_PN_HRRP,777,,1.0165,16.6051,16.3355,130,07/01/2014,06/30/2017
COMMUNITY HOSPITAL EAST,IN,READM_30_AMI_HRRP,357,,0.9714,14.5015,14.9290,50,07/01/2014,06/30/2017
COMMUNITY HOSPITAL EAST,IN,READM_30_CABG_HRRP,162,,1.0216,13.2383,12.9580,22,07/01/2014,06/30/2017
COMMUNITY HOSPITAL EAST,IN,READM_30_COPD_HRRP,391,,0.9863,19.7069,19.9806,76,07/01/2014,06/30/2017
COMMUNITY HOSPITAL EAST,IN,READM_30_HF_HRRP,705,,0.9114,19.5597,21.4619,132,07/01/2014,06/30/2017
COMMUNITY HOSPITAL EAST,IN,READM_30_HIP_KNEE_HRRP,223,,1.0621,4.8142,4.5325,12,07/01/2014,06/30/2017
COMMUNITY HOSPITAL EAST,IN,READM_30_PN_HRRP,464,,0.9813,15.9744,16.2782,73,07/01/2014,06/30/2017
BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,MA,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9558,17.2598,18.0583,Not Available,07/01/2014,06/30/2017
BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,MA,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,MA,READM_30_COPD_HRRP,245,,1.1149,21.8683,19.6141,62,07/01/2014,06/30/2017
BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,MA,READM_30_HF_HRRP,259,,0.9907,21.0824,21.2807,54,07/01/2014,06/30/2017
BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,MA,READM_30_HIP_KNEE_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,MA,READM_30_PN_HRRP,314,,0.9251,14.5104,15.6844,41,07/01/2014,06/30/2017
NATHAN LITTAUER HOSPITAL,NY,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
NATHAN LITTAUER HOSPITAL,NY,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
NATHAN LITTAUER HOSPITAL,NY,READM_30_COPD_HRRP,147,,1.0102,18.5370,18.3501,28,07/01/2014,06/30/2017
NATHAN LITTAUER HOSPITAL,NY,READM_30_HF_HRRP,101,,0.9971,19.9805,20.0380,20,07/01/2014,06/30/2017
NATHAN LITTAUER HOSPITAL,NY,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0531,5.8268,5.5327,Not Available,07/01/2014,06/30/2017
